Timestamp,YYYYMMDD,HHMMSS,PREC,AIRT,SST,RH,Q
0,20060101,0,-0.17,28.75,29.69,79.8,HighQ
1,20060101,1000,0,28.86,29.708,79.2,HighQ
2,20060101,2000,-0.02,28.91,29.749,79.4,HighQ
3,20060101,3000,-0.01,28.85,29.757,78.4,HighQ
4,20060101,4000,-0.02,28.87,29.787,77.8,HighQ
5,20060101,5000,-0.04,28.71,29.793,78.2,HighQ
6,20060101,10000,-0.02,28.66,29.803,77.5,HighQ
7,20060101,11000,0.01,28.64,29.815,77.5,HighQ
8,20060101,12000,-0.01,28.64,29.788,78.3,HighQ
9,20060101,13000,-0.01,28.63,29.76,79.6,HighQ
10,20060101,14000,0,28.74,29.786,79.6,HighQ
11,20060101,15000,-0.01,28.5,29.783,81.4,HighQ
12,20060101,20000,-0.03,28.08,29.782,81.6,HighQ
13,20060101,21000,-0.02,28.24,29.748,81.3,HighQ
14,20060101,22000,-0.01,28.39,29.747,79.6,HighQ
15,20060101,23000,-0.01,28.56,29.806,78.5,HighQ
16,20060101,24000,-0.03,28.76,29.805,78.8,HighQ
17,20060101,25000,-0.01,28.7,29.861,78.7,HighQ
18,20060101,30000,0,28.75,29.885,78.6,HighQ
19,20060101,31000,-0.03,28.82,29.844,78.9,HighQ
20,20060101,32000,-0.01,28.79,29.842,78.5,HighQ
21,20060101,33000,0,28.8,29.866,79.4,HighQ
22,20060101,34000,-0.02,28.75,29.882,80.4,HighQ
23,20060101,35000,0,28.61,29.901,78.2,HighQ
24,20060101,40000,-0.01,28.75,29.902,78.5,HighQ
25,20060101,41000,-0.01,28.74,29.829,76.8,HighQ
26,20060101,42000,0.01,28.89,29.826,77.4,HighQ
27,20060101,43000,0,28.91,29.774,78.3,HighQ
28,20060101,44000,0,28.89,29.832,78.6,HighQ
29,20060101,45000,-0.02,28.94,29.803,77.7,HighQ
30,20060101,50000,-0.02,28.99,29.87,77.2,HighQ
31,20060101,51000,-0.01,29.01,29.83,77.6,HighQ
32,20060101,52000,-0.02,29.04,29.815,76.6,HighQ
33,20060101,53000,0.04,29.09,29.805,77.4,HighQ
34,20060101,54000,0.4,28.46,29.815,82,HighQ
35,20060101,55000,0.04,28.21,29.836,80.7,HighQ
36,20060101,60000,0.04,28.54,29.778,80.3,HighQ
37,20060101,61000,-0.02,28.71,29.773,79.8,HighQ
38,20060101,62000,-0.03,28.85,29.741,78.9,HighQ
39,20060101,63000,-0.02,28.78,29.696,80.5,HighQ
40,20060101,64000,-0.01,28.58,29.689,80.2,HighQ
41,20060101,65000,0.01,28.64,29.659,78.6,HighQ
42,20060101,70000,0.02,28.68,29.617,79.1,HighQ
43,20060101,71000,0.01,28.76,29.62,79.2,HighQ
44,20060101,72000,0.01,28.81,29.62,79.8,HighQ
45,20060101,73000,0.01,28.77,29.623,79.8,HighQ
46,20060101,74000,0.01,28.77,29.613,78.2,HighQ
47,20060101,75000,0,28.87,29.646,77.6,HighQ
48,20060101,80000,0.01,28.95,29.656,77.6,HighQ
49,20060101,81000,0.01,28.92,29.652,76.1,HighQ
50,20060101,82000,0.02,29,29.643,77,HighQ
51,20060101,83000,0.01,28.99,29.63,77.3,HighQ
52,20060101,84000,0.01,28.96,29.617,78.3,HighQ
53,20060101,85000,-0.01,28.98,29.601,78.5,HighQ
54,20060101,90000,0.01,28.92,29.615,77.3,HighQ
55,20060101,91000,-0.01,28.99,29.62,78.2,HighQ
56,20060101,92000,0,28.93,29.588,78.7,HighQ
57,20060101,93000,-0.01,28.91,29.555,79.3,HighQ
58,20060101,94000,0.01,28.88,29.575,79.9,HighQ
59,20060101,95000,-0.01,28.58,29.558,81.8,HighQ
60,20060101,100000,0,28.67,29.55,80.1,HighQ
61,20060101,101000,0.01,28.67,29.557,80.5,HighQ
62,20060101,102000,0,28.7,29.545,78.8,HighQ
63,20060101,103000,0.01,28.82,29.521,78,HighQ
64,20060101,104000,0,28.88,29.543,78.3,HighQ
65,20060101,105000,0.01,28.85,29.532,77.3,HighQ
66,20060101,110000,-0.01,28.85,29.522,77.7,HighQ
67,20060101,111000,-0.01,28.84,29.515,78.8,HighQ
68,20060101,112000,0,28.81,29.514,79.6,HighQ
69,20060101,113000,0,28.77,29.499,80.2,HighQ
70,20060101,114000,0,28.72,29.492,79.7,HighQ
71,20060101,115000,2.61,28.71,29.475,79.7,HighQ
72,20060101,120000,2.28,28.17,29.494,83.4,HighQ
73,20060101,121000,-0.1,28.28,29.474,80.4,HighQ
74,20060101,122000,0.06,28.64,29.46,78.9,HighQ
